GenArtNo;genart_en
293;Licence Plate Light
294;End Outline Marker Light
295;Wiper Motor
297;Signal Horn
298;Wiper Blade
299;Wiper Blade Rubber
300;Wiper Linkage
301;Wiper Arm, window cleaning
302;Wiper Bearing
303;Washer Fluid Jet, window cleaning
304;V-Belt Set
305;V-ribbed Belt
306;Timing Belt
307;Timing Belt Kit
308;Tensioner Pulley, timing belt
310;Tensioner Pulley, V-ribbed belt
312;Deflection/Guide Pulley, V-ribbed belt
313;Deflection Pulley/Guide Pulley, timing belt
314;Gasket, water pump
315;Gasket Set, water pump
316;Thermostat, coolant
317;Gasket, thermostat housing
318;Gasket, cylinder head
319;Gasket Kit, cylinder head
321;Gasket, cylinder head cover
322;Seal Ring, valve stem
323;Seal Set, valve stem
324;Bellow, air suspension
325;Operating Device, air suspension
326;Air Suspension Valve
328;Pressure Control Valve, lifting system
331;Bushing, stabiliser bar
332;Compressor, compressed-air system
333;Cylinder Head, air compressor
334;Repair Kit, air compressor
335;Pressure Controller, compressed-air system
336;Antifreeze Pump, compressed-air system
337;Water Separator, compressed-air system
338;Compressed-air Cleaner
339;Air Dryer, compressed-air system
340;Air Dryer Cartridge, compressed-air system
341;Multi-circuit Protection Valve
342;Valve, compressed-air system
346;Air Tank, compressed-air system
347;Brake Valve, service brake
348;Control Valve, trailer
350;Pretensioning Cylinder
354;Spring-loaded Cylinder
355;Brake Valve, parking brake
356;Brake Valve, trailer
358;Overload Protection Valve
359;Diaphragm Brake Cylinder
360;Piston Brake Cylinder
361;Multi-function Brake Cylinder
362;Slave Cylinder
363;Slave Cylinder, door
365;Alarm Switch, differential pressure
366;Directional Control Valve
367;Test Connection
368;Spiral Hose
369;Silencer, compressed-air system
370;Coupling Head
371;Heater Flange, carburettor
372;Heater Flap Box
373;Connector, compressed-air line
374;Tyre Inflation Connector
377;Shut-Off Cock
385;Suspension Strut, air suspension
387;Vacuum Pump, braking system
388;Eyebolt, tie rod
389;Rear Panel
390;Back Door
391;Tail Light Assembly
392;Housing, tail light assembly
394;Rear Rack
395;Axle Beam
396;Fluid Reservoir, brake fluid
397;Expansion Tank, coolant
399;Bellow, brake caliper guide
400;Thrust Piece, disc brake pad
401;Seal Kit, brake caliper
402;Brake Pad Set, disc brake
404;Clamping Sleeve, disc brake pad
405;Repair Kit, brake caliper
406;Holder, brake disc pad
407;Warning Contact, brake pad wear
408;Rivet, drum brake lining
410;Brake Shaft, drum brake
412;Sensor, wheel speed
414;Controller, level control
415;Hydraulic Unit, braking system
416;Hydraulic Filter, automatic transmission
417;Hydraulic Filter, steering
418;Hydraulic Filter, leveling control
421;Inner Wing Panel
423;Interior Light
424;Filter, cabin air
426;Cable Set, front fog light
427;Cable Set, high beam headlight
428;Permanent Positive Cable, trailer hitch
429;Catalytic Converter
430;Retrofit Kit, catalytic converter
431;Housing, licence plate light
432;Rocker Arm, engine timing
433;Rocker Arm Shaft, engine timing
435;Strap Kit, bicycle rack
436;Retrofit Kit, air conditioning
438;Knuckle Joint
439;Body Floor, boot-/cargo area
440;Boot-/Cargo Area Hatch
441;Boot Light
442;Boot Brace, trailer hitch
443;Piston
444;Piston Ring Set
445;Instrument cluster
446;Combination Valve, braking system
447;Compressor, air conditioning
448;Condenser, air conditioning
449;Wing
450;Flaring, wing
451;Flaring Kit, wing
453;Fuel Tank
454;Fuel Supply Module
455;Gasket, oil sump
456;Gasket Set, oil sump
457;Clutch Hose
458;Fuel Pump
460;Pump, fuel pre-supply
461;Fuel Gauge
462;Joint, steering column
464;Ball Plate, trailer hitch
466;Tow Ball Bracket, trailer hitch
467;Heat Exchanger, interior heating
468;Charge Air Cooler
469;Oil Cooler, engine oil
470;Radiator, engine cooling
471;Evaporator, air conditioning
472;Radiator Grille
473;Holder, radiator grille
474;Frame, radiator grille
475;Radiator Hose
476;Radiator Mounting
477;Coupling Ball, trailer hitch
478;Cable Pull, clutch control
479;Clutch Kit
481;Main Bearing Cap, crankshaft
482;Bracket, axle beam
483;Bracket, engine mounting system
486;Bulb Socket, searchlight
487;Bulb Socket, worklight
488;Bulb Socket, high beam headlight
489;Bulb Socket, headlight
490;Bulb Socket, front fog light
492;Bulb Holder, direction indicator
493;Bulb Holder, stop light
494;Bulb Holder, tail light assembly
495;Bulb Holder, tail light
496;Bulb Holder, rotating beacon
498;Bulb Holder, licence plate light
499;Bulb Holder, rear fog light
500;Bulb Holder, reverse light
502;Steering Linkage
503;Steering Arm
504;Steering Spindle
505;Pitman Arm
506;Steering Shaft
507;Steering Idler Arm
508;Fan, engine cooling
509;Clutch, radiator fan
514;Gas Spring, bonnet
515;Brake Line
516;Clutch Line
518;Mounting Kit, catalytic converter
519;Mounting Kit, muffler
522;Hinge, driver cab
523;Tilt Cylinder, driver cab
525;Door Lock, driver cab
526;Spring, driver cab suspension
527;Shock Absorber, driver cab suspension
528;Bellow, driver cab suspension
529;Valve, driver cab suspension
530;Door, body
531;Bonnet
533;Holder, engine mounting system
534;Hydraulic Filter, clutch
535;Hydraulic Filter, brake fluid
536;Filter, operating hydraulics
537;Filter, windscreen washer fluid
538;Exhaust Gas Flap, engine brake
540;Tensioner Lever, V-ribbed belt
541;Belt Tensioner, V-ribbed belt
542;V-ribbed Belt Set
544;Tensioner Lever, timing belt
545;Tensioner, timing belt
546;Coolant Pipe
547;Gasket, coolant pipe
548;Cap, radiator
549;Bolt, radiator cap
550;High-pressure Switch, air conditioning
551;Seal Ring, radiator cap bolt
552;Belt Pulley, radiator fan
553;Holder, oil cooler
554;Mounting Bracket, oil cooler
555;Low-pressure Switch, air conditioning
556;Oil Hose
557;Gasket Set, oil cooler
558;Mounting Kit, heat exchanger
559;Gasket, heater flap box
560;Full Gasket Kit, engine
561;Finger Follower, engine timing
562;Push Rod
563;O-Ring, push rod tube
564;Push Rod Tube
566;Camshaft
567;Camshaft Kit
568;Gasket, timing case
569;Gasket, timing case cover
570;Gasket Kit, timing case
571;Tensioner, timing chain
572;Shaft Seal, crankshaft
574;Crankshaft Bearing Shell
577;Flywheel
578;Ring Gear, flywheel
579;Pilot Bearing, clutch
580;Gear, balance shaft
581;Connecting Rod
582;Connecting Rod Bearing Shell
583;Bearing Cap, connecting rod
584;Small End Bushes, connecting rod
585;Sensor, longitudinal acceleration
586;Sensor, transverse acceleration
587;Piston Pin, crankshaft drive
588;Circlip, piston pin
589;Cylinder Liner
590;Housing, oil filter
591;Gasket, oil filter housing
592;Oil Sump
593;Screw Plug, oil sump
594;Oil Pump Pickup Tube
595;Strainer, oil pump pickup tube
596;Oil Pump
597;Cap, oil filler neck
598;Gasket, oil filler neck cap
599;Oil Dipstick
600;Housing, fuel filter
601;Strap, fuel tank
602;Cap, fuel tank
603;Fuel Drain Plug
604;Seal Ring, fuel drain plug
605;Sender Unit, fuel tank
606;Seal, fuel tank cap
607;Filler Neck, fuel tank
608;Tilt Pump, driver cab
609;Fuel Hose
610;Fuel Line
611;Seal, fuel line
612;Hose Connector, fuel hose
613;Repair Kit, fuel pump
615;Repair Kit, hand feed pump
616;Sight Glass, hand feed pump
618;Accelerator Cable
619;Repair Kit, clutch release bearing
620;Slave Cylinder, clutch
621;Repair Kit, clutch master cylinder
622;Repair Kit, clutch slave cylinder
