rule_id;base_type;carrier;purpose;position;features;genart_id;note
THIRD-STOP;LAMP;;;THIRD;;1428;Third/high-mounted stop lamp (position=THIRD)
TAILLAMP;TAIL LAMP;;;;;290;
CORNERLAMP;CORNER LAMP;;;;;62;
DRL;DRL;;;;;2466;
FOG-REAR-BASE;FOG;;;REAR;;291;Rear fog combined lamp (base=FOG pos=REAR)
FOG-TURN-REAR;LAMP;;;REAR;FOG/TURN;291;Rear fog/turn signal combined lamp
FOG-REAR;;;;REAR;FOG-LAMP;291;
FOG-FRONT;;;;;FOG-LAMP;289;
LIC-BUMPER;PLATE;BUMPER;;;;293;Licence plate light (bumper-mounted plate light)
LIC-LAMP;LAMP;LICENCEPLATE;;;;293;
LIC-LAMP3;LICENCE&LAMP;;;;;293;Licence Plate Light (base has LICENCE+LAMP)
LIC-LAMP2;LAMP;LICENCE;;;;293;Licence Plate Light
LIC-PLATE;LICENCEPLATE;;;;;746;Licence Plate Holder
REVERSE-LAMP;LAMP;;REVERSE;;;292;
REFLECTOR;REFLECTOR;;;;;1093;Reflector
MIRROR-LAMP;LAMP;MIRROR;;;;62;
MIRROR-SIDEL;MIRROR;;;;SIDELAMP;62;
MIRROR-FOOTL;MIRROR;;;;FOOTLAMP;4369;Periphery Light, exterior mirror
MIRROR-GLASS;GLASS;MIRROR;;;;2810;
MIRROR-GLASS2;MIRROR+GLASS;;;;;2810;
MIRROR-COVER;COVER;MIRROR;;;;23;
MIRROR-SW;SWITCH;MIRROR;;;;2790;
MIRROR;MIRROR;;;;;50;
DOOR-HANDLE;HANDLE;DOOR;;;;1373;
HANDLE-TAILGATE;HANDLE;TAILGATE;;;;1373;Tailgate/boot handle
ROLLER-DOOR;ROLLER;DOOR;;;;3846;Roller Guide, sliding door
TRUNK-LID;LID;TRUNK;;;;390;Boot/Trunk lid
WINREG;WINDOW REGULATOR;;;;;1561;
GS-ELECTRIC;GAS SPRING;;;;ELECTRIC;7413;
GS-HOOD;GAS SPRING;HOOD;;;;514;
GS-TAILGATE;GAS SPRING;TAILGATE;;;;219;
GS-TRUNK;GAS SPRING;TRUNK;;;;219;
