# Категории, в които артикулните правила ОВЕРАЙДВАТ категорийния мапинг.
# Една категория на ред. Редове с # са коментар.
ORIGINAL HYUNDAI KAT 27
ORIGINAL KIA KAT 27
1802 - GROUP FIAT KAT 20
1802 - GROUP FIAT KAT 28
1802 - GROUP FIAT KAT 35
ORIGINAL STOCK
INACTIVE ITEMS
TAIL BODY
SAFETY ITEM
VARIOUS
ENGINE PARTS
REAR LAMPS FOG/REVERSE/REFLECTOR/LICENCE/BRAKE
HOOD/FENDER INSTALATION KITS
VARIOUS PLASTIC PARTS
DOOR SWITCHS OTHER
LAMPS CORNER/SIDE/FRONT/DRL
MIRROR LAMPS/SIDE/FOOT/SIDE ASSIST
GAS SPRINGS HOOD-TAIL GATE
GAS SPRING HOOD-TAIL GATE MARELLI
HINGE
PLASTIC FENDERS (FLARES) - ROCCKER PANEL - DOOR MOULDINGS
BUMPER/FENDER BRACKETS-ABSORBERS FRONT-REAR
TOW HOOK COVERS/HEAD LAMP WASHER COVERS
FOG LAMPS/DAYLIGHTS/REFLECTORS/REGULATORS VALEO
FOG LAMPS/DAYLIGHTS/REFLECTORS/REGULATORS HELLA
FOG LAMPS/DAYLIGHTS/REFLECTORS/REGULATORS MARELLI
HOOD INSULATOR/WIPER PANELS
ACCESSORIE LAMPS (LEXUS-SMOKE etc)
LAMPS ULO
VISTEON
SIDE FRAMES
PANELS-INNER FENDERS & ECT.
TAIL GATE
HOOD/PANEL LOCKS
GRILLE MOULDINGS/GRILLE FRAMES/GRILLE BRACKETS/LAMP MOULDINGS
BUMPER-GRILLE STIFFENER
