GenArtNo;genart_en;standardised_article_description;assembly_groups;purpose_of_use;Delete
168;Fuel Pressure Regulator;Regulator;Fuel Supply System;Fuel Pressure;0
170;Pressure Converter;Pressure Converter;Exhaust Gas Recirculation;NULL;0
171;Washer Nozzle Pipe;Tube;Window Cleaning;Washer Nozzle;0
176;Ball Stud, tie rod;Bolt;Steering;Track Rod Ball Joint;0
177;Rocker Panel;Foot Board;Body;NULL;0
178;Door Entry Light;Light;Lights;Entry bar;0
179;Electric Kit, trailer hitch;Electric Kit;Trailer Hitch;NULL;0
181;Exhaust Tip;Cover;Exhaust System;Tailpipe;0
183;Expansion Valve, air conditioning;Valve;Air Conditioning;Expansion;0
184;Quick Repair Service, drive shaft;Quick Repair Service;Wheel Drive;Drive Shaft;0
185;Quick Repair Service, drive shaft joint;Quick Repair Service;Wheel Drive;Joint;0
186;Bicycle Holder, rear rack;Bicycle Rack;Carriers;Rear Rack;0
187;Bicycle Holder, roof rack;Bicycle Rack;Carriers;Roof Rack;0
188;Suspension Spring;Spring;Suspension/Damping;NULL;0
189;Suspension Set, springs;Spring Kit;Suspension/Damping;Spring;0
190;Suspension Kit, springs/shock absorbers;Suspension Kit;Suspension/Damping;NULL;0
191;Bellow, steering;Bellow;Steering;NULL;0
193;Bellow, drive shaft;Bellow;Wheel Drive;Drive Shaft;0
194;Bellow Kit, drive shaft;Bellow Kit;Wheel Drive;Drive Shaft;0
195;Bellow Kit, steering;Bellow Kit;Steering;NULL;0
196;Trumpet Horn;Trumpet Horn;Signal System;NULL;0
198;Suspension Strut;Suspension Strut;Suspension/Damping;NULL;0
200;Electric Motor, window regulator;Electric Motor;Comfort Systems;Window Regulator;0
201;Remote Control, central locking;Remote Control;Lock System;Central Locking System;0
202;High Beam Headlight;Headlight;Lights;High Beam Headlight;0
203;Windscreen Frame;Frame;Body;Windscreen Frame;0
204;Seal Ring, exhaust pipe;Seal Ring;Exhaust System;Exhaust Pipe;0
205;Gasket, carburettor flange;Gasket/Seal;Carburettor;Carburettor Flange;0
208;Radiator Support;Panelling;Body;Radiator Support;0
209;Guide Arm, window cleaning;Guide Arm;Window Cleaning;NULL;0
213;Guide Sleeve, clutch;Sleeve;Clutch;Guide Tube;0
214;Floor Mat;Floor Mat;Interior Equipment;NULL;0
215;Floor Mat Set;Floor Mat Set;Interior Equipment;NULL;0
216;Shift Console, automatic transmission;Gauge;Instruments;Shift Position;0
217;Vapour Separator, carburettor;Trap;Carburettor;Vapour;0
219;Gas Spring, boot/cargo area;Gas Spring;Body;Boot-/Cargo Area Lid;0
220;Gas Spring, foldaway table;Gas Spring;Interior Equipment;Foldaway Table;0
221;Gas Spring, glove compartment;Gas Spring;Interior Equipment;Glove Compartment;0
222;Gas Spring, centre console;Gas Spring;Interior Equipment;Centre Console;0
223;Gas Spring, telephone console;Gas Spring;Interior Equipment;Telephone Console;0
224;Gas Spring, tool cabinet flap;Gas Spring;Body;Toolbox Door;0
225;Gas Spring, bunk;Gas Spring;Interior Equipment;Bunk;0
